Articulo,Factura,Nro,Fecha,SubTotal,Total,Estado,id_producto,Cantidad,PrecioUnitario,Precio,Comentario,Contacto,Cuenta,Edad,Usuario
"Hepa-Merz Granulado","Pedido de Cliente 7",SO351,"2013-07-16 12:50:49",2500.000,3050.000,Created,255,1.000,1000.000,1000.000000,"Hepa-Merz Granulado",,"Cliente 7",2,"Dos Visitador Dos"
Pantogar,"Pedido de Cliente 14",SO352,"2013-02-10 13:05:22",180.000,219.600,Created,250,1.000,180.000,180.000000,Pantogar,,"Cliente 14",2,"Dos Visitador Dos"
"Cientific Hyaluronic Facial Implant 30 y 18","Pedido de Cliente 9",SO353,"2013-05-03 13:57:57",1234.000,1505.480,Created,245,1.000,1234.000,1234.000000,"Cientific Hyaluronic Facial Implant 30 y 18",,"Cliente 9",2,"Dos Visitador Dos"
Ebroset,"Pedido de Cliente 7",SO354,"2012-11-16 18:30:52",2077.000,2533.940,Created,242,1.000,1000.000,1000.000000,Ebroset,,"Cliente 7",55,"3 Visitador tres"
"Terfiren crema - 5g","Pedido de Cliente 7",SO354,"2012-11-16 18:30:52",2077.000,2533.940,Created,253,1.000,180.000,180.000000,"Terfiren crema - 5g",,"Cliente 7",55,"3 Visitador tres"
"Eu-tTG IgA Humana","Pedido de Cliente 7",SO354,"2012-11-16 18:30:52",2077.000,2533.940,Created,246,1.000,897.000,897.000000,"Eu-tTG IgA Humana",,"Cliente 7",55,"3 Visitador tres"
Pantogar,"Pedido de Cliente 2",SO355,"2013-06-13 13:49:47",1720.000,2098.400,Created,250,1.000,180.000,180.000000,Pantogar,,"Cliente 2",2,"Dos Visitador Dos"
Alufren,"Pedido de Cliente 2",SO355,"2013-06-13 13:49:47",1720.000,2098.400,Created,247,1.000,180.000,180.000000,Alufren,,"Cliente 2",2,"Dos Visitador Dos"
Viru-Merz,"Pedido de Cliente 2",SO355,"2013-06-13 13:49:47",1720.000,2098.400,Created,251,1.000,180.000,180.000000,Viru-Merz,,"Cliente 2",2,"Dos Visitador Dos"
Pantogar,"Pedido de Cliente 2",SO355,"2013-06-13 13:49:47",1720.000,2098.400,Created,250,1.000,180.000,180.000000,Pantogar,,"Cliente 2",2,"Dos Visitador Dos"
Ebroset,"Pedido de Cliente 2",SO355,"2013-06-13 13:49:47",1720.000,2098.400,Created,242,1.000,1000.000,1000.000000,Ebroset,,"Cliente 2",2,"Dos Visitador Dos"
"Ebroderm Piel Normal","Pedido de Cliente 2",SO356,"2012-11-08 16:42:46",4217.000,5144.740,Created,210,1.000,1500.000,1500.000000,"Ebroderm Piel Normal",,"Cliente 2",32,"uno Visitador"
"Eu-tTG IgA Humana","Pedido de Cliente 2",SO356,"2012-11-08 16:42:46",4217.000,5144.740,Created,246,1.000,897.000,897.000000,"Eu-tTG IgA Humana",,"Cliente 2",32,"uno Visitador"
"Ebro Visión","Pedido de Cliente 2",SO356,"2012-11-08 16:42:46",4217.000,5144.740,Created,244,1.000,600.000,600.000000,"Ebro Visi&oacute;n",,"Cliente 2",32,"uno Visitador"
"Terfiren crema - 10g","Pedido de Cliente 2",SO356,"2012-11-08 16:42:46",4217.000,5144.740,Created,254,1.000,220.000,220.000000,"Terfiren crema - 10g",,"Cliente 2",32,"uno Visitador"
Ebroset,"Pedido de Cliente 2",SO356,"2012-11-08 16:42:46",4217.000,5144.740,Created,242,1.000,1000.000,1000.000000,Ebroset,,"Cliente 2",32,"uno Visitador"
"Terfiren crema - 5g","Pedido de Cliente 8",SO357,"2012-09-16 16:34:58",2080.000,2537.600,Created,253,1.000,180.000,180.000000,"Terfiren crema - 5g",,"Cliente 8",2,"Dos Visitador Dos"
"Ebroderm Piel Normal","Pedido de Cliente 8",SO357,"2012-09-16 16:34:58",2080.000,2537.600,Created,210,1.000,1500.000,1500.000000,"Ebroderm Piel Normal",,"Cliente 8",2,"Dos Visitador Dos"
"Terfiren crema - 10g","Pedido de Cliente 8",SO357,"2012-09-16 16:34:58",2080.000,2537.600,Created,254,1.000,220.000,220.000000,"Terfiren crema - 10g",,"Cliente 8",2,"Dos Visitador Dos"
"Ad Muc","Pedido de Cliente 8",SO357,"2012-09-16 16:34:58",2080.000,2537.600,Created,248,1.000,180.000,180.000000,"Ad Muc",,"Cliente 8",2,"Dos Visitador Dos"
"Cientific Hyaluronic Facial Implant 30 y 18","Pedido de Cliente 13",SO358,"2013-07-16 12:55:20",2414.000,2945.080,Created,245,1.000,1234.000,1234.000000,"Cientific Hyaluronic Facial Implant 30 y 18",,"Cliente 13",2,"Dos Visitador Dos"
Ebroset,"Pedido de Cliente 13",SO358,"2013-07-16 12:55:20",2414.000,2945.080,Created,242,1.000,1000.000,1000.000000,Ebroset,,"Cliente 13",2,"Dos Visitador Dos"
Ebroset,"Pedido de Cliente 13",SO358,"2013-07-16 12:55:20",2414.000,2945.080,Created,252,1.000,180.000,180.000000,Ebroset,,"Cliente 13",2,"Dos Visitador Dos"
"Terfiren crema - 10g","Pedido de Cliente 12",SO359,"2012-12-11 13:47:15",440.000,536.800,Created,254,1.000,220.000,220.000000,"Terfiren crema - 10g",,"Cliente 12",32,"uno Visitador"
"Terfiren crema - 10g","Pedido de Cliente 12",SO359,"2012-12-11 13:47:15",440.000,536.800,Created,254,1.000,220.000,220.000000,"Terfiren crema - 10g",,"Cliente 12",32,"uno Visitador"
Alufren,"Pedido de Cliente 2",SO360,"2013-02-26 20:25:42",180.000,219.600,Created,247,1.000,180.000,180.000000,Alufren,,"Cliente 2",55,"3 Visitador tres"
"Ebro Bebé","Pedido de Cliente 17",SO361,"2012-09-22 18:37:16",2140.000,2610.800,Created,243,1.000,1000.000,1000.000000,"Ebro Beb&eacute;",,"Cliente 17",32,"uno Visitador"
"Terfiren crema - 5g","Pedido de Cliente 17",SO361,"2012-09-22 18:37:16",2140.000,2610.800,Created,253,1.000,180.000,180.000000,"Terfiren crema - 5g",,"Cliente 17",32,"uno Visitador"
"Ebro Visión","Pedido de Cliente 17",SO361,"2012-09-22 18:37:16",2140.000,2610.800,Created,244,1.000,600.000,600.000000,"Ebro Visi&oacute;n",,"Cliente 17",32,"uno Visitador"
Ebroset,"Pedido de Cliente 17",SO361,"2012-09-22 18:37:16",2140.000,2610.800,Created,252,1.000,180.000,180.000000,Ebroset,,"Cliente 17",32,"uno Visitador"
Contractubex,"Pedido de Cliente 17",SO361,"2012-09-22 18:37:16",2140.000,2610.800,Created,249,1.000,180.000,180.000000,Contractubex,,"Cliente 17",32,"uno Visitador"
Ebroset,"Pedido de Cliente 4",SO362,"2012-10-16 18:53:06",180.000,219.600,Created,252,1.000,180.000,180.000000,Ebroset,,"Cliente 4",32,"uno Visitador"
Ebroset,"Pedido de Cliente 3",SO363,"2013-01-13 11:34:52",1077.000,1313.940,Created,252,1.000,180.000,180.000000,Ebroset,,"Cliente 3",32,"uno Visitador"
"Eu-tTG IgA Humana","Pedido de Cliente 3",SO363,"2013-01-13 11:34:52",1077.000,1313.940,Created,246,1.000,897.000,897.000000,"Eu-tTG IgA Humana",,"Cliente 3",32,"uno Visitador"
"Ebroderm Piel Normal","Pedido de Cliente 19",SO364,"2012-08-10 10:50:10",1500.000,1830.000,Created,210,1.000,1500.000,1500.000000,"Ebroderm Piel Normal",,"Cliente 19",2,"Dos Visitador Dos"
"Ad Muc","Pedido de Cliente 4",SO365,"2013-03-19 20:01:00",960.000,1171.200,Created,248,1.000,180.000,180.000000,"Ad Muc",,"Cliente 4",32,"uno Visitador"
"Ebro Visión","Pedido de Cliente 4",SO365,"2013-03-19 20:01:00",960.000,1171.200,Created,244,1.000,600.000,600.000000,"Ebro Visi&oacute;n",,"Cliente 4",32,"uno Visitador"
Alufren,"Pedido de Cliente 4",SO365,"2013-03-19 20:01:00",960.000,1171.200,Created,247,1.000,180.000,180.000000,Alufren,,"Cliente 4",32,"uno Visitador"
Pantogar,"Pedido de Cliente 2",SO366,"2012-11-25 20:23:29",360.000,439.200,Created,250,1.000,180.000,180.000000,Pantogar,,"Cliente 2",55,"3 Visitador tres"
Alufren,"Pedido de Cliente 2",SO366,"2012-11-25 20:23:29",360.000,439.200,Created,247,1.000,180.000,180.000000,Alufren,,"Cliente 2",55,"3 Visitador tres"
Pantogar,"Pedido de Cliente 8",SO367,"2013-05-08 16:25:22",2260.000,2757.200,Created,250,1.000,180.000,180.000000,Pantogar,,"Cliente 8",55,"3 Visitador tres"
Ebroset,"Pedido de Cliente 8",SO367,"2013-05-08 16:25:22",2260.000,2757.200,Created,252,1.000,180.000,180.000000,Ebroset,,"Cliente 8",55,"3 Visitador tres"
"Ebroderm Piel Normal","Pedido de Cliente 8",SO367,"2013-05-08 16:25:22",2260.000,2757.200,Created,210,1.000,1500.000,1500.000000,"Ebroderm Piel Normal",,"Cliente 8",55,"3 Visitador tres"
"Terfiren crema - 10g","Pedido de Cliente 8",SO367,"2013-05-08 16:25:22",2260.000,2757.200,Created,254,1.000,220.000,220.000000,"Terfiren crema - 10g",,"Cliente 8",55,"3 Visitador tres"
"Terfiren crema - 5g","Pedido de Cliente 8",SO367,"2013-05-08 16:25:22",2260.000,2757.200,Created,253,1.000,180.000,180.000000,"Terfiren crema - 5g",,"Cliente 8",55,"3 Visitador tres"
Ebroset,"Pedido de Cliente 13",SO368,"2012-11-21 19:59:03",3734.000,4555.480,Created,242,1.000,1000.000,1000.000000,Ebroset,,"Cliente 13",55,"3 Visitador tres"
"Ebroderm Piel Normal","Pedido de Cliente 13",SO368,"2012-11-21 19:59:03",3734.000,4555.480,Created,210,1.000,1500.000,1500.000000,"Ebroderm Piel Normal",,"Cliente 13",55,"3 Visitador tres"
"Ebroderm Piel Seca","Pedido de Cliente 13",SO368,"2012-11-21 19:59:03",3734.000,4555.480,Created,238,1.000,1234.000,1234.000000,"Ebroderm Piel Seca",,"Cliente 13",55,"3 Visitador tres"
Ebroset,"Pedido de Cliente 15",SO369,"2012-08-20 10:18:30",2194.000,2676.680,Created,252,1.000,180.000,180.000000,Ebroset,,"Cliente 15",2,"Dos Visitador Dos"
"Ebro Visión","Pedido de Cliente 15",SO369,"2012-08-20 10:18:30",2194.000,2676.680,Created,244,1.000,600.000,600.000000,"Ebro Visi&oacute;n",,"Cliente 15",2,"Dos Visitador Dos"
"Terfiren crema - 5g","Pedido de Cliente 15",SO369,"2012-08-20 10:18:30",2194.000,2676.680,Created,253,1.000,180.000,180.000000,"Terfiren crema - 5g",,"Cliente 15",2,"Dos Visitador Dos"
"Cientific Hyaluronic Facial Implant 30 y 18","Pedido de Cliente 15",SO369,"2012-08-20 10:18:30",2194.000,2676.680,Created,245,1.000,1234.000,1234.000000,"Cientific Hyaluronic Facial Implant 30 y 18",,"Cliente 15",2,"Dos Visitador Dos"
Alufren,"Pedido de Cliente 8",SO370,"2013-04-13 18:58:55",1414.000,1725.080,Created,247,1.000,180.000,180.000000,Alufren,,"Cliente 8",32,"uno Visitador"
"Ebroderm Piel Seca","Pedido de Cliente 8",SO370,"2013-04-13 18:58:55",1414.000,1725.080,Created,238,1.000,1234.000,1234.000000,"Ebroderm Piel Seca",,"Cliente 8",32,"uno Visitador"
Pantogar,"Pedido de Cliente 3",SO371,"2013-01-21 18:17:56",540.000,658.800,Created,250,1.000,180.000,180.000000,Pantogar,,"Cliente 3",2,"Dos Visitador Dos"
Alufren,"Pedido de Cliente 3",SO371,"2013-01-21 18:17:56",540.000,658.800,Created,247,1.000,180.000,180.000000,Alufren,,"Cliente 3",2,"Dos Visitador Dos"
Viru-Merz,"Pedido de Cliente 3",SO371,"2013-01-21 18:17:56",540.000,658.800,Created,251,1.000,180.000,180.000000,Viru-Merz,,"Cliente 3",2,"Dos Visitador Dos"
"Ebroderm Piel Normal","Pedido de Cliente 12",SO372,"2013-06-16 21:55:58",3060.000,3733.200,Created,210,1.000,1500.000,1500.000000,"Ebroderm Piel Normal",,"Cliente 12",55,"3 Visitador tres"
Viru-Merz,"Pedido de Cliente 12",SO372,"2013-06-16 21:55:58",3060.000,3733.200,Created,251,1.000,180.000,180.000000,Viru-Merz,,"Cliente 12",55,"3 Visitador tres"
"Ebro Visión","Pedido de Cliente 12",SO372,"2013-06-16 21:55:58",3060.000,3733.200,Created,244,1.000,600.000,600.000000,"Ebro Visi&oacute;n",,"Cliente 12",55,"3 Visitador tres"
"Ebro Visión","Pedido de Cliente 12",SO372,"2013-06-16 21:55:58",3060.000,3733.200,Created,244,1.000,600.000,600.000000,"Ebro Visi&oacute;n",,"Cliente 12",55,"3 Visitador tres"
Ebroset,"Pedido de Cliente 12",SO372,"2013-06-16 21:55:58",3060.000,3733.200,Created,252,1.000,180.000,180.000000,Ebroset,,"Cliente 12",55,"3 Visitador tres"
Contractubex,"Pedido de Cliente 8",SO373,"2013-02-19 17:49:17",2180.000,2659.600,Created,249,1.000,180.000,180.000000,Contractubex,,"Cliente 8",55,"3 Visitador tres"
Ebroset,"Pedido de Cliente 8",SO373,"2013-02-19 17:49:17",2180.000,2659.600,Created,242,1.000,1000.000,1000.000000,Ebroset,,"Cliente 8",55,"3 Visitador tres"
"Ebro Bebé","Pedido de Cliente 8",SO373,"2013-02-19 17:49:17",2180.000,2659.600,Created,243,1.000,1000.000,1000.000000,"Ebro Beb&eacute;",,"Cliente 8",55,"3 Visitador tres"
"Ebroderm Piel Normal","Pedido de Cliente 20",SO374,"2012-08-15 16:36:36",1500.000,1830.000,Created,210,1.000,1500.000,1500.000000,"Ebroderm Piel Normal",,"Cliente 20",32,"uno Visitador"
"Ebroderm Piel Seca","Pedido de Cliente 11",SO375,"2013-01-04 18:00:44",2468.000,3010.960,Created,238,1.000,1234.000,1234.000000,"Ebroderm Piel Seca",,"Cliente 11",32,"uno Visitador"
"Ebroderm Piel Seca","Pedido de Cliente 11",SO375,"2013-01-04 18:00:44",2468.000,3010.960,Created,238,1.000,1234.000,1234.000000,"Ebroderm Piel Seca",,"Cliente 11",32,"uno Visitador"
Viru-Merz,"Pedido de Cliente 17",SO376,"2012-09-16 20:11:59",1437.000,1753.140,Created,251,1.000,180.000,180.000000,Viru-Merz,,"Cliente 17",32,"uno Visitador"
"Eu-tTG IgA Humana","Pedido de Cliente 17",SO376,"2012-09-16 20:11:59",1437.000,1753.140,Created,246,1.000,897.000,897.000000,"Eu-tTG IgA Humana",,"Cliente 17",32,"uno Visitador"
"Terfiren crema - 5g","Pedido de Cliente 17",SO376,"2012-09-16 20:11:59",1437.000,1753.140,Created,253,1.000,180.000,180.000000,"Terfiren crema - 5g",,"Cliente 17",32,"uno Visitador"
Ebroset,"Pedido de Cliente 17",SO376,"2012-09-16 20:11:59",1437.000,1753.140,Created,252,1.000,180.000,180.000000,Ebroset,,"Cliente 17",32,"uno Visitador"
"Ebroderm Piel Normal","Pedido de Cliente 19",SO377,"2013-04-01 20:39:30",1500.000,1830.000,Created,210,1.000,1500.000,1500.000000,"Ebroderm Piel Normal",,"Cliente 19",55,"3 Visitador tres"
"Ebroderm Piel Normal","Pedido de Cliente 13",SO378,"2012-12-29 16:44:09",2100.000,2562.000,Created,210,1.000,1500.000,1500.000000,"Ebroderm Piel Normal",,"Cliente 13",55,"3 Visitador tres"
"Ebro Visión","Pedido de Cliente 13",SO378,"2012-12-29 16:44:09",2100.000,2562.000,Created,244,1.000,600.000,600.000000,"Ebro Visi&oacute;n",,"Cliente 13",55,"3 Visitador tres"
Pantogar,"Pedido de Cliente 6",SO379,"2013-06-25 21:47:30",2648.000,3230.560,Created,250,1.000,180.000,180.000000,Pantogar,,"Cliente 6",2,"Dos Visitador Dos"
"Ebroderm Piel Seca","Pedido de Cliente 6",SO379,"2013-06-25 21:47:30",2648.000,3230.560,Created,238,1.000,1234.000,1234.000000,"Ebroderm Piel Seca",,"Cliente 6",2,"Dos Visitador Dos"
"Ebroderm Piel Seca","Pedido de Cliente 6",SO379,"2013-06-25 21:47:30",2648.000,3230.560,Created,238,1.000,1234.000,1234.000000,"Ebroderm Piel Seca",,"Cliente 6",2,"Dos Visitador Dos"
"Eu-tTG IgA Humana","Pedido de Cliente 9",SO381,"2013-07-23 14:55:02",2397.000,2924.340,Created,246,1.000,897.000,897.000000,"Eu-tTG IgA Humana",,"Cliente 9",2,"Dos Visitador Dos"
"Ebroderm Piel Normal","Pedido de Cliente 9",SO381,"2013-07-23 14:55:02",2397.000,2924.340,Created,210,1.000,1500.000,1500.000000,"Ebroderm Piel Normal",,"Cliente 9",2,"Dos Visitador Dos"
"Hepa-Merz Granulado","Pedido de Cliente 10",SO382,"2013-05-28 13:46:05",1180.000,1439.600,Created,255,1.000,1000.000,1000.000000,"Hepa-Merz Granulado",,"Cliente 10",55,"3 Visitador tres"
Ebroset,"Pedido de Cliente 10",SO382,"2013-05-28 13:46:05",1180.000,1439.600,Created,252,1.000,180.000,180.000000,Ebroset,,"Cliente 10",55,"3 Visitador tres"
"Ad Muc","Pedido de Cliente 9",SO383,"2013-05-21 18:42:24",720.000,878.400,Created,248,1.000,180.000,180.000000,"Ad Muc",,"Cliente 9",55,"3 Visitador tres"
"Terfiren crema - 5g","Pedido de Cliente 9",SO383,"2013-05-21 18:42:24",720.000,878.400,Created,253,1.000,180.000,180.000000,"Terfiren crema - 5g",,"Cliente 9",55,"3 Visitador tres"
Contractubex,"Pedido de Cliente 9",SO383,"2013-05-21 18:42:24",720.000,878.400,Created,249,1.000,180.000,180.000000,Contractubex,,"Cliente 9",55,"3 Visitador tres"
"Terfiren crema - 5g","Pedido de Cliente 9",SO383,"2013-05-21 18:42:24",720.000,878.400,Created,253,1.000,180.000,180.000000,"Terfiren crema - 5g",,"Cliente 9",55,"3 Visitador tres"
"Ebroderm Piel Seca","Pedido de Cliente 18",SO384,"2013-02-15 20:59:57",1234.000,1505.480,Created,238,1.000,1234.000,1234.000000,"Ebroderm Piel Seca",,"Cliente 18",2,"Dos Visitador Dos"
"Hepa-Merz Granulado","Pedido de Cliente 5",SO385,"2013-01-29 10:23:13",3014.000,3677.080,Created,255,1.000,1000.000,1000.000000,"Hepa-Merz Granulado",,"Cliente 5",55,"3 Visitador tres"
"Terfiren crema - 5g","Pedido de Cliente 5",SO385,"2013-01-29 10:23:13",3014.000,3677.080,Created,253,1.000,180.000,180.000000,"Terfiren crema - 5g",,"Cliente 5",55,"3 Visitador tres"
"Ebro Visión","Pedido de Cliente 5",SO385,"2013-01-29 10:23:13",3014.000,3677.080,Created,244,1.000,600.000,600.000000,"Ebro Visi&oacute;n",,"Cliente 5",55,"3 Visitador tres"
"Ebroderm Piel Seca","Pedido de Cliente 5",SO385,"2013-01-29 10:23:13",3014.000,3677.080,Created,238,1.000,1234.000,1234.000000,"Ebroderm Piel Seca",,"Cliente 5",55,"3 Visitador tres"
Viru-Merz,"Pedido de Cliente 6",SO387,"2013-04-22 13:34:53",1580.000,1927.600,Created,251,1.000,180.000,180.000000,Viru-Merz,,"Cliente 6",55,"3 Visitador tres"
"Terfiren crema - 10g","Pedido de Cliente 6",SO387,"2013-04-22 13:34:53",1580.000,1927.600,Created,254,1.000,220.000,220.000000,"Terfiren crema - 10g",,"Cliente 6",55,"3 Visitador tres"
Pantogar,"Pedido de Cliente 6",SO387,"2013-04-22 13:34:53",1580.000,1927.600,Created,250,1.000,180.000,180.000000,Pantogar,,"Cliente 6",55,"3 Visitador tres"
Ebroset,"Pedido de Cliente 6",SO387,"2013-04-22 13:34:53",1580.000,1927.600,Created,242,1.000,1000.000,1000.000000,Ebroset,,"Cliente 6",55,"3 Visitador tres"
Alufren,"Pedido de Cliente 6",SO388,"2013-02-11 11:42:56",360.000,439.200,Created,247,1.000,180.000,180.000000,Alufren,,"Cliente 6",2,"Dos Visitador Dos"
Alufren,"Pedido de Cliente 6",SO388,"2013-02-11 11:42:56",360.000,439.200,Created,247,1.000,180.000,180.000000,Alufren,,"Cliente 6",2,"Dos Visitador Dos"
"Ebro Bebé","Pedido de Cliente 6",SO389,"2013-06-11 11:26:11",3734.000,4555.480,Created,243,1.000,1000.000,1000.000000,"Ebro Beb&eacute;",,"Cliente 6",2,"Dos Visitador Dos"
"Ebroderm Piel Normal","Pedido de Cliente 6",SO389,"2013-06-11 11:26:11",3734.000,4555.480,Created,210,1.000,1500.000,1500.000000,"Ebroderm Piel Normal",,"Cliente 6",2,"Dos Visitador Dos"
"Cientific Hyaluronic Facial Implant 30 y 18","Pedido de Cliente 6",SO389,"2013-06-11 11:26:11",3734.000,4555.480,Created,245,1.000,1234.000,1234.000000,"Cientific Hyaluronic Facial Implant 30 y 18",,"Cliente 6",2,"Dos Visitador Dos"
"Ebro Visión","Pedido de Cliente 2",SO390,"2013-04-05 12:11:20",4145.000,5056.900,Created,244,1.000,600.000,600.000000,"Ebro Visi&oacute;n",,"Cliente 2",55,"3 Visitador tres"
Viru-Merz,"Pedido de Cliente 2",SO390,"2013-04-05 12:11:20",4145.000,5056.900,Created,251,1.000,180.000,180.000000,Viru-Merz,,"Cliente 2",55,"3 Visitador tres"
"Eu-tTG IgA Humana","Pedido de Cliente 2",SO390,"2013-04-05 12:11:20",4145.000,5056.900,Created,246,1.000,897.000,897.000000,"Eu-tTG IgA Humana",,"Cliente 2",55,"3 Visitador tres"
"Cientific Hyaluronic Facial Implant 30 y 18","Pedido de Cliente 2",SO390,"2013-04-05 12:11:20",4145.000,5056.900,Created,245,1.000,1234.000,1234.000000,"Cientific Hyaluronic Facial Implant 30 y 18",,"Cliente 2",55,"3 Visitador tres"
"Ebroderm Piel Seca","Pedido de Cliente 2",SO390,"2013-04-05 12:11:20",4145.000,5056.900,Created,238,1.000,1234.000,1234.000000,"Ebroderm Piel Seca",,"Cliente 2",55,"3 Visitador tres"
Alufren,"Pedido de Cliente 7",SO391,"2013-07-18 14:08:05",180.000,219.600,Created,247,1.000,180.000,180.000000,Alufren,,"Cliente 7",55,"3 Visitador tres"
Ebroset,"Pedido de Cliente 19",SO392,"2013-04-05 20:59:26",4397.000,5364.340,Created,242,1.000,1000.000,1000.000000,Ebroset,,"Cliente 19",2,"Dos Visitador Dos"
"Eu-tTG IgA Humana","Pedido de Cliente 19",SO392,"2013-04-05 20:59:26",4397.000,5364.340,Created,246,1.000,897.000,897.000000,"Eu-tTG IgA Humana",,"Cliente 19",2,"Dos Visitador Dos"
"Ebroderm Piel Normal","Pedido de Cliente 19",SO392,"2013-04-05 20:59:26",4397.000,5364.340,Created,210,1.000,1500.000,1500.000000,"Ebroderm Piel Normal",,"Cliente 19",2,"Dos Visitador Dos"
Ebroset,"Pedido de Cliente 19",SO392,"2013-04-05 20:59:26",4397.000,5364.340,Created,242,1.000,1000.000,1000.000000,Ebroset,,"Cliente 19",2,"Dos Visitador Dos"
Alufren,"Pedido de Cliente 16",SO393,"2013-05-20 18:54:01",1540.000,1878.800,Created,247,1.000,180.000,180.000000,Alufren,,"Cliente 16",32,"uno Visitador"
"Ebro Bebé","Pedido de Cliente 16",SO393,"2013-05-20 18:54:01",1540.000,1878.800,Created,243,1.000,1000.000,1000.000000,"Ebro Beb&eacute;",,"Cliente 16",32,"uno Visitador"
Viru-Merz,"Pedido de Cliente 16",SO393,"2013-05-20 18:54:01",1540.000,1878.800,Created,251,1.000,180.000,180.000000,Viru-Merz,,"Cliente 16",32,"uno Visitador"
"Terfiren crema - 5g","Pedido de Cliente 16",SO393,"2013-05-20 18:54:01",1540.000,1878.800,Created,253,1.000,180.000,180.000000,"Terfiren crema - 5g",,"Cliente 16",32,"uno Visitador"
"Ebro Visión","Pedido de Cliente 15",SO394,"2013-01-03 18:28:26",2600.000,3172.000,Created,244,1.000,600.000,600.000000,"Ebro Visi&oacute;n",,"Cliente 15",55,"3 Visitador tres"
Ebroset,"Pedido de Cliente 15",SO394,"2013-01-03 18:28:26",2600.000,3172.000,Created,242,1.000,1000.000,1000.000000,Ebroset,,"Cliente 15",55,"3 Visitador tres"
"Ebro Bebé","Pedido de Cliente 15",SO394,"2013-01-03 18:28:26",2600.000,3172.000,Created,243,1.000,1000.000,1000.000000,"Ebro Beb&eacute;",,"Cliente 15",55,"3 Visitador tres"
Contractubex,"Pedido de Cliente 8",SO395,"2013-06-06 19:11:13",540.000,658.800,Created,249,1.000,180.000,180.000000,Contractubex,,"Cliente 8",32,"uno Visitador"
Viru-Merz,"Pedido de Cliente 8",SO395,"2013-06-06 19:11:13",540.000,658.800,Created,251,1.000,180.000,180.000000,Viru-Merz,,"Cliente 8",32,"uno Visitador"
Alufren,"Pedido de Cliente 8",SO395,"2013-06-06 19:11:13",540.000,658.800,Created,247,1.000,180.000,180.000000,Alufren,,"Cliente 8",32,"uno Visitador"
Ebroset,"Pedido de Cliente 5",SO396,"2013-02-06 12:06:49",180.000,219.600,Created,252,1.000,180.000,180.000000,Ebroset,,"Cliente 5",2,"Dos Visitador Dos"
Ebroset,"Pedido de Cliente 19",SO398,"2012-11-27 10:30:58",1960.000,2391.200,Created,252,1.000,180.000,180.000000,Ebroset,,"Cliente 19",2,"Dos Visitador Dos"
"Ebro Bebé","Pedido de Cliente 19",SO398,"2012-11-27 10:30:58",1960.000,2391.200,Created,243,1.000,1000.000,1000.000000,"Ebro Beb&eacute;",,"Cliente 19",2,"Dos Visitador Dos"
Viru-Merz,"Pedido de Cliente 19",SO398,"2012-11-27 10:30:58",1960.000,2391.200,Created,251,1.000,180.000,180.000000,Viru-Merz,,"Cliente 19",2,"Dos Visitador Dos"
"Ebro Visión","Pedido de Cliente 19",SO398,"2012-11-27 10:30:58",1960.000,2391.200,Created,244,1.000,600.000,600.000000,"Ebro Visi&oacute;n",,"Cliente 19",2,"Dos Visitador Dos"
"Ad Muc","Pedido de Cliente 20",SO399,"2012-09-05 12:39:22",3314.000,4043.080,Created,248,1.000,180.000,180.000000,"Ad Muc",,"Cliente 20",32,"uno Visitador"
"Terfiren crema - 10g","Pedido de Cliente 20",SO399,"2012-09-05 12:39:22",3314.000,4043.080,Created,254,1.000,220.000,220.000000,"Terfiren crema - 10g",,"Cliente 20",32,"uno Visitador"
"Ebroderm Piel Normal","Pedido de Cliente 20",SO399,"2012-09-05 12:39:22",3314.000,4043.080,Created,210,1.000,1500.000,1500.000000,"Ebroderm Piel Normal",,"Cliente 20",32,"uno Visitador"
Alufren,"Pedido de Cliente 20",SO399,"2012-09-05 12:39:22",3314.000,4043.080,Created,247,1.000,180.000,180.000000,Alufren,,"Cliente 20",32,"uno Visitador"
"Ebroderm Piel Seca","Pedido de Cliente 20",SO399,"2012-09-05 12:39:22",3314.000,4043.080,Created,238,1.000,1234.000,1234.000000,"Ebroderm Piel Seca",,"Cliente 20",32,"uno Visitador"
Alufren,"Pedido de Cliente 18",SO400,"2013-02-21 14:39:17",180.000,219.600,Created,247,1.000,180.000,180.000000,Alufren,,"Cliente 18",32,"uno Visitador"
"Cientific Hyaluronic Facial Implant 30 y 18","Pedido de Cliente 14",SO401,"2012-09-21 19:13:59",2468.000,3010.960,Created,245,1.000,1234.000,1234.000000,"Cientific Hyaluronic Facial Implant 30 y 18",,"Cliente 14",32,"uno Visitador"
"Ebroderm Piel Seca","Pedido de Cliente 14",SO401,"2012-09-21 19:13:59",2468.000,3010.960,Created,238,1.000,1234.000,1234.000000,"Ebroderm Piel Seca",,"Cliente 14",32,"uno Visitador"
"Ebro Bebé","Pedido de Cliente 6",SO402,"2013-05-27 19:01:39",2600.000,3172.000,Created,243,1.000,1000.000,1000.000000,"Ebro Beb&eacute;",,"Cliente 6",32,"uno Visitador"
"Ebro Visión","Pedido de Cliente 6",SO402,"2013-05-27 19:01:39",2600.000,3172.000,Created,244,1.000,600.000,600.000000,"Ebro Visi&oacute;n",,"Cliente 6",32,"uno Visitador"
Ebroset,"Pedido de Cliente 6",SO402,"2013-05-27 19:01:39",2600.000,3172.000,Created,242,1.000,1000.000,1000.000000,Ebroset,,"Cliente 6",32,"uno Visitador"
